Core,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
8051,,MG51FB9AE,0.48,0.40,0.31,0.26,0.23,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51FC9AE,0.62,0.52,0.40,0.33,0.30,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51XB9AE,0.48,0.40,0.31,0.26,0.23,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MG51XC9AE,0.62,0.52,0.40,0.33,0.30,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MUG51TB9AE,1.50,1.25,0.96,0.80,0.73,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E003AT20,0.30,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N76E616AL48,1.14,0.95,0.73,0.61,0.55,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E885AT20,0.75,0.63,0.48,0.40,0.36,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76E885AT28,0.99,0.83,0.63,0.53,0.48,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N76S003AQ20,0.22,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N76S003AT20,0.22,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,N79E715AS16,0.69,0.58,0.44,0.37,0.33,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E715AT20,0.66,0.55,0.42,0.35,0.32,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E715AT28,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E823ADG,1.44,1.20,0.92,0.77,0.70,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E825ADG,1.44,1.20,0.92,0.77,0.70,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DDG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DFG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E052DPG,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DDG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DFG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DDG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DFG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E058DPG,2.28,1.90,1.46,1.22,1.10,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DPG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51BB9AE,0.72,0.60,0.46,0.38,0.35,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51DB9AE,0.78,0.65,0.50,0.42,0.38,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51EB9AE,0.99,0.83,0.63,0.53,0.48,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51EC0AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51FB9AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51PB9AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51PC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51TB9AE,1.08,0.90,0.69,0.58,0.52,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51TC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51TC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51TD1AE,1.35,1.13,0.86,0.72,0.65,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51XB9AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51XB9AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51BA9AE,0.57,0.48,0.36,0.30,0.28,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51DA9AE,0.57,0.48,0.36,0.30,0.28,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51EC0AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51FB9AE,0.39,-,-,-,-,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00%
8051,,MS51FC0AE,0.72,0.60,0.46,0.38,0.35,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51PC0AE,0.99,0.83,0.63,0.53,0.48,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51TC0AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51XB9AE,0.53,0.44,0.34,0.28,0.26,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51XC0BE,0.72,0.60,0.46,0.38,0.35,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51LD1AE,1.56,1.30,1.00,0.83,0.75,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51SD1AE,1.62,1.35,1.04,0.86,0.78,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML54LD1AE,1.74,1.45,1.11,0.93,0.84,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML54MD1AE,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML56LD1AE,2.07,1.73,1.32,1.10,1.00,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51OB9AE,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UB9AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UB9AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML56MD1AE,2.01,1.68,1.29,1.07,0.97,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML56SD1AE,2.13,1.78,1.36,1.14,1.03,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML54SD1AE,1.80,1.50,1.15,0.96,0.87,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DFG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DPG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E365A40FL,2.58,2.15,1.65,1.38,1.25,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E815AT28,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E065A40PL,2.43,2.03,1.56,1.30,1.17,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51EB0AE,0.75,0.63,0.48,0.40,0.36,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51XB9BE,0.53,0.44,0.34,0.28,0.26,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DDG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W79E8213RAKG,1.56,1.30,1.00,0.83,0.75,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N78E517APG,,,,,,,,,,,
8051,,W925E240FG,,,,,,,,,,,
8051,,N78E366APG,,,,,,,,,,,
8051,,N78E366ALG,,,,,,,,,,,
8051,,N78E059APG,,,,,,,,,,,
8051,,N78E059APG,,,,,,,,,,,
,,,,,,,,,,,,,
,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
M0M23,,M031EB0AE,0.63,0.48,0.40,0.36,0.35,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031EC1AE,0.70,0.54,0.45,0.41,0.39,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031FB0AE,0.55,0.42,0.35,0.32,0.31,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031FC1AE,0.63,0.48,0.40,0.36,0.35,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KG6AE,2.70,2.07,1.73,1.57,1.51,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KG8AE,3.38,2.59,2.16,1.96,1.89,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KIAAE,4.05,3.11,2.59,2.35,2.27,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LC2AE,0.85,0.65,0.54,0.49,0.48,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LD2AE,0.90,0.69,0.58,0.52,0.50,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LE3AE,1.20,0.92,0.77,0.70,0.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LG6AE,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LG8AE,2.98,2.28,1.90,1.73,1.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SC2AE,1.33,1.02,0.85,0.77,0.74,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SD2AE,1.58,1.21,1.01,0.91,0.88,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SE3AE,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SG6AE,2.43,1.86,1.55,1.41,1.36,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SG8AE,3.23,2.48,2.06,1.87,1.81,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SIAAE,3.53,2.71,2.26,2.04,1.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TB0AE,0.65,0.50,0.42,0.38,0.36,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TC1AE,0.73,0.56,0.46,0.42,0.41,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TD2AE,0.88,0.67,0.56,0.51,0.49,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032EC1AE,0.75,0.58,0.48,0.44,0.42,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032FC1AE,0.68,0.52,0.43,0.39,0.38,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032KG6AE,2.98,2.28,1.90,1.73,1.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032KG8AE,3.53,2.71,2.26,2.04,1.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LD2AE,0.95,0.73,0.61,0.55,0.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LE3AE,1.25,0.96,0.80,0.73,0.70,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LG6AE,2.43,1.86,1.55,1.41,1.36,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LG8AE,3.23,2.48,2.06,1.87,1.81,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032SE3AE,2.03,1.56,1.30,1.17,1.13,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032SG6AE,2.55,1.96,1.63,1.48,1.43,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032SG8AE,3.38,2.59,2.16,1.96,1.89,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032SIAAE,3.63,2.78,2.32,2.10,2.03,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032TC1AE,0.80,0.61,0.51,0.46,0.45,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0516LDE,2.03,1.56,1.30,1.17,1.13,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0516LDN,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0516ZDE,2.13,1.63,1.36,1.23,1.19,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0516ZDN,1.80,1.38,1.15,1.04,1.01,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0518LD2AE,2.33,1.79,1.49,1.35,1.30,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0518SC2AE,2.38,1.82,1.52,1.38,1.33,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0518SD2AE,2.50,1.92,1.60,1.45,1.40,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0519LD3AE,2.65,2.04,1.70,1.54,1.48,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0519LE3AE,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0519SD3AE,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0519SE3AE,3.18,2.44,2.03,1.84,1.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0519VE3AE,4.03,3.09,2.58,2.33,2.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M052LDE,1.60,1.23,1.02,0.93,0.90,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M052LDN,1.40,1.08,0.90,0.81,0.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M052ZDE,1.58,1.21,1.01,0.91,0.88,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M052ZDN,1.35,1.04,0.86,0.78,0.76,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M054LDE,1.68,1.29,1.07,0.97,0.94,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M054LDN,1.58,1.21,1.01,0.91,0.88,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M054ZDE,1.65,1.27,1.06,0.96,0.92,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M054ZDN,1.53,1.17,0.98,0.88,0.85,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0564LE4AE,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0564LG4AE,3.18,2.44,2.03,1.84,1.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0564VG4AE,4.03,3.09,2.58,2.33,2.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058LDE,1.93,1.48,1.23,1.12,1.08,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058LDN,1.73,1.32,1.10,1.00,0.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058SFAN,1.30,1.00,0.83,0.75,0.73,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058SLAN,1.78,1.36,1.14,1.03,0.99,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058SSAN,1.93,1.48,1.23,1.12,1.08,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058SZAN,1.73,1.32,1.10,1.00,0.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M058ZDE,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0A23EC1ACU,2.00,1.54,1.28,1.16,1.12,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M0A23OC1ACU,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M2351KIAAE,4.18,3.21,2.67,2.42,2.34,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M2351SFSIAAP,6.33,4.86,4.05,3.67,3.54,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M2351SIAAE,4.08,3.13,2.61,2.36,2.28,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M2351ZIAAE,4.03,3.09,2.58,2.33,2.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M254KG6AE,3.00,2.30,1.92,1.74,1.68,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M256SD2AE,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M256SE3AE,2.38,1.82,1.52,1.38,1.33,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M258KG6AE,3.13,2.40,2.00,1.81,1.75,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M258SG6AE,3.00,2.30,1.92,1.74,1.68,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI51FDE,0.88,0.67,0.56,0.51,0.49,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI51LDE,1.15,0.88,0.74,0.67,0.64,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI51TDE,1.10,0.84,0.70,0.64,0.62,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI51ZDE,1.10,0.84,0.70,0.64,0.62,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI52FDE,0.93,0.71,0.59,0.54,0.52,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI52LDE,1.30,1.00,0.83,0.75,0.73,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI52TDE,1.23,0.94,0.78,0.71,0.69,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI52ZDE,1.20,0.92,0.77,0.70,0.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI54FDE,1.03,0.79,0.66,0.59,0.57,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI54LDE,1.48,1.13,0.94,0.86,0.83,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI54TDE,1.38,1.06,0.88,0.80,0.77,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI54ZDE,1.23,0.94,0.78,0.71,0.69,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI58FDE,1.10,0.84,0.70,0.64,0.62,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI58LDE,1.55,1.19,0.99,0.90,0.87,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI58TDE,1.43,1.09,0.91,0.83,0.80,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,MINI58ZDE,1.30,1.00,0.83,0.75,0.73,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100KD3BN,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100KE3BN,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100LC2BN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100LD2BN,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100LD3BN,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100LE3BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100NC2BN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100NE3BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SC2BN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SD2BN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SD3BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SE3BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102LB1AN,2.03,1.56,1.30,1.17,1.13,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102LC2AN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102SC2AN,2.23,1.71,1.42,1.29,1.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102ZB1AN,1.95,1.50,1.25,1.13,1.09,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110KC2BN,3.03,2.32,1.94,1.75,1.69,,76.80%,64.00%,58.00%,56.00%,0.00%
